incident_address,n
655 EAST  230 STREET,56628
78-15 PARSONS BOULEVARD,12915
82-68 164 STREET,6910
661 EAST  230 STREET,6069
BROADWAY,5988
158-33 78 AVENUE,5577
1465 WASHINGTON AVENUE,4361
601 WEST  115 STREET,4145
159-06 UNION TURNPIKE,3910
89-21 ELMHURST AVENUE,3906
2176 TIEBOUT AVENUE,3850
957 WOODYCREST AVENUE,3779
31-35 CRESCENT STREET,3681
177 SANDS STREET,3608
516 SCHROEDERS AVENUE,3593
82-16 164 STREET,3458
3 AVENUE,3229
5 AVENUE,3167
191 UNION STREET,3023
2 AVENUE,3023
1000 5 AVENUE,2869
JFK,2700
6 AVENUE,2656
233 LANDING ROAD,2646
526 SCHROEDERS AVENUE,2484
2400 7 AVENUE,2317
7 AVENUE,2297
1 AVENUE,2287
8 AVENUE,2277
88-12 151 AVENUE,2205
72-10 41 AVENUE,2131
298 CLASSON AVENUE,2072
2400 2 AVENUE,2044
71-01 PARSONS BOULEVARD,2010
301 GOLD STREET,1914
333 EAST   14 STREET,1885
100 MESEROLE AVENUE,1792
AMSTERDAM AVENUE,1779
1040B EAST  217 STREET,1683
131 JERSEY STREET,1632
76 ST NICHOLAS PLACE,1621
2750 HOMECREST AVENUE,1570
1671 MADISON STREET,1547
345 ADAMS STREET,1541
200 WEST  131 STREET,1538
90-10 SOUTH CONDUIT AVENUE,1518
530 EAST  169 STREET,1463
5-47 50 AVENUE,1444
1690 NELSON AVENUE,1434
1385 WASHINGTON AVENUE,1419
2069 WALTON AVENUE,1415
21 VARICK STREET,1409
147 PRINCE STREET,1393
9 AVENUE,1388
92-02 CORONA AVENUE,1327
102-01 ALSTYNE AVENUE,1299
2040 BRONXDALE AVENUE,1284
JOHN F KENNEDY AIRPORT,1284
1872 MONROE AVENUE,1267
9511 SHORE ROAD,1266
9101 CHURCH AVENUE,1241
640 8 AVENUE,1238
4 AVENUE,1224
672 EAST  231 STREET,1220
35 HILLSIDE AVENUE,1219
10 AVENUE,1201
707 EAST  242 STREET,1200
514 WEST  136 STREET,1180
2410 WASHINGTON AVENUE,1165
147-01 HILLSIDE AVENUE,1156
95 PROSPECT PARK WEST,1133
932 EAST  173 STREET,1132
598 SCHROEDERS AVENUE,1129
225 CENTRAL PARK NORTH,1124
206 WEST  148 STREET,1120
FLUSHING MEADOWS CORONA PARK,1119
150 MALCOLM X BOULEVARD,1118
11 AVENUE,1106
730 EAST  236 STREET,1096
75 WILSON STREET,1083
1711 FULTON STREET,1067
1501 UNDERCLIFF AVENUE,1065
1750 EAST  172 STREET,1059
701 FENIMORE STREET,1054
1742 EAST  172 STREET,1054
570 WEST  190 STREET,1027
3555 BRUCKNER BOULEVARD,1011
894 BROADWAY,1004
765 LINCOLN AVENUE,1002
640 STANLEY AVENUE,995
BEDFORD AVENUE,994
ATLANTIC AVENUE,989
1440 BRONX RIVER AVENUE,981
711 SEAGIRT AVENUE,974
1515 SELWYN AVENUE,964
3830 BRONX BOULEVARD,961
166-11 HILLSIDE AVENUE,961
1705 HOE AVENUE,959
3428 BROADWAY,956
COLUMBUS AVENUE,952
2120 RANDALL AVENUE,945
1080 ANDERSON AVENUE,945
102-30 QUEENS BOULEVARD,942
142-10 HOOVER AVENUE,942
600 EAST  137 STREET,936
620 WEST  141 STREET,933
963 WOODYCREST AVENUE,931
2856 WEBB AVENUE,930
3545 JEROME AVENUE,923
2145 AMSTERDAM AVENUE,922
2588 7 AVENUE,920
760 ELDERT LANE,904
1207 BEACH AVENUE,904
1030 BOYNTON AVENUE,894
208 EAST   28 STREET,891
261 SEAMAN AVENUE,889
RIVERSIDE PARK,887
RIVERSIDE DRIVE,880
400 HERKIMER STREET,870
2710 MORRIS AVENUE,870
LAGUARDIA AIRPORT,867
38 6 AVENUE,863
1925 7 AVENUE,838
239 OCEAN AVENUE,836
46 LINDEN BOULEVARD,824
2945 WEST   23 STREET,824
35-64 84 STREET,822
3525 DECATUR AVENUE,818
LA GUARDIA AIRPORT,817
750 GRAND CONCOURSE,810
417 LORIMER STREET,809
475 LOCKE STREET,806
430 61 STREET,805
1750 EAST   14 STREET,797
343 ADAMS STREET,772
80 WOODRUFF AVENUE,771
128 HANCOCK STREET,770
426 61 STREET,767
1329 COMMONWEALTH AVENUE,760
JFK AIRPORT,760
158-39 78 AVENUE,757
470 DEKALB AVENUE,755
CENTRAL PARK WEST,754
ST NICHOLAS AVENUE,753
55 CHURCH STREET,744
950 WOODYCREST AVENUE,743
919 PROSPECT AVENUE,742
7 EVERIT STREET,740
45 ST NICHOLAS AVENUE,739
1420 GRAND CONCOURSE,731
1127 ESSEX STREET,726
334 EAST   14 STREET,723
595 DEAN STREET,722
900 ERSKINE STREET,721
1398 GRAND CONCOURSE,718
135 ELMIRA LOOP,717
41-51 150 STREET,715
1340 STRATFORD AVENUE,709
CENTRAL PARK,709
CHURCH AVENUE,708
751 GERARD AVENUE,703
234 SANDS STREET,703
165 WEST  197 STREET,696
44 WILSON AVENUE,695
1132 ESSEX STREET,688
700 WEST  180 STREET,687
43-01 201 STREET,687
3435 OLINVILLE AVENUE,683
120 WEST   91 STREET,682
50 EAST  102 STREET,676
1425 DR M L KING JR BOULEVARD,675
FULTON STREET,674
365 THATFORD AVENUE,674
2890 SEDGWICK AVENUE,674
165 SHERMAN AVENUE,672
37 AVENUE,671
37-45 58 STREET,669
184 ETNA STREET,667
410 EAST   59 STREET,664
1265 PARK AVENUE,659
2010 POWELL AVENUE,657
4646 PARK AVENUE,652
34-16 ASTORIA BOULEVARD SOUTH,651
410 ST NICHOLAS AVENUE,650
265 WEST  114 STREET,648
71-38 71 STREET,647
78-04 160 STREET,644
525 EAST   21 STREET,643
509 WEST  135 STREET,641
2101 ALBEMARLE ROAD,640
MSGR MCGOLRICK PARK,634
2 PARK AVENUE,633
2331 GLEASON AVENUE,633
20 AVENUE,632
790 ELDERT LANE,629
BROOK AVENUE,624
120 WEST 91 STREET,624
140-11 ASH AVENUE,623
20 RICHMAN PLAZA,623
3675 BROADWAY,621
891 BROOK AVENUE,621
129-11 JAMAICA AVENUE,619
MAIN STREET,619
951 HOE AVENUE,613
34 AVENUE,613
2500 WEBB AVENUE,609
133 PITT STREET,607
77-42 160 STREET,605
85 STREET,603
111-02 QUEENS BOULEVARD,600
252 SHERMAN AVENUE,598
153-11 HILLSIDE AVENUE,597
HORACE HARDING EXPRESSWAY,597
AVENUE T,596
PELHAM BAY PARK,595
6902 RIDGE BOULEVARD,593
330 WEST   30 STREET,592
4215 PARK AVENUE,591
91 QUINLAN AVENUE,591
12 AVENUE,589
93 LINDEN BOULEVARD,587
15 COOPER STREET,586
772 EAST  168 STREET,582
964 AMSTERDAM AVENUE,581
11 SEAMAN AVENUE,579
LENOX AVENUE,579
1 JACOBUS PLACE,578
1965 LAFAYETTE AVENUE,576
2070 ARTHUR AVENUE,575
2100 BEEKMAN PLACE,572
213 NAGLE AVENUE,570
1815 EAST   17 STREET,567
65-38 AUSTIN STREET,565
2300 5 AVENUE,564
2076 CRESTON AVENUE,564
23 AVENUE,563
1777 GRAND CONCOURSE,561
825 GERARD AVENUE,560
900 GRAND CONCOURSE,558
2075 WALLACE AVENUE,558
1302 NEWKIRK AVENUE,558
675 LINCOLN AVENUE,557
2225 5 AVENUE,557
130 WEST  228 STREET,557
1131 OGDEN AVENUE,556
1-55 BORDEN AVENUE,555
1775 EAST   18 STREET,553
1713 HARMAN STREET,551
2664 GRAND CONCOURSE,551
2620 BEVERLY ROAD,549
1188 GRAND CONCOURSE,548
34 HILLSIDE AVENUE,547
1349 STRATFORD AVENUE,547
EAST  171 STREET,545
501 NEW YORK AVENUE,543
106-10 SHORE FRONT PARKWAY,542
88-42 85 STREET,542
499 EAST   34 STREET,540
1459 WYTHE PLACE,539
84-10 34 AVENUE,538
257-36 148 AVENUE,537
2970 WEST   27 STREET,537
234 WEST  114 STREET,536
HYLAN BOULEVARD,535
AVENUE U,534
35 AVENUE,531
325 AVENUE Y,531
2625 GRAND CONCOURSE,528
AVENUE O,525
2 WATER STREET,524
70-01 49 AVENUE,522
230 PARK AVENUE,520
975 WALTON AVENUE,519
580 EMPIRE BOULEVARD,519
4575 PARK AVENUE,518
1350 PARK PLACE,516
4200 5 AVENUE,515
765 RIVERSIDE DRIVE,515
1481 WASHINGTON AVENUE,515
14 AVENUE,513
60 WEST  142 STREET,513
7 HEGEMAN AVENUE,511
18 AVENUE,510
64 WEST  192 STREET,508
LINDEN BOULEVARD,508
1967 MARMION AVENUE,507
49 WEST  225 STREET,507
507 SCHROEDERS AVENUE,506
208 EAST   30 STREET,506
735 LINCOLN AVENUE,504
1565 TOWNSEND AVENUE,504
AVENUE N,504
2017 CHURCH AVENUE,503
185 PARK HILL AVENUE,503
1406 NEW YORK AVENUE,498
440 WEST   57 STREET,496
80-30 PARK LANE,495
323 EAST GUN HILL ROAD,495
3042 AVENUE V,494
5700 ARLINGTON AVENUE,493
1 TENNIS PLACE,493
63-70 AUSTIN STREET,493
190 YORK STREET,493
712 CROWN STREET,492
2489 TIEBOUT AVENUE,492
107 EAST  126 STREET,492
94-25 57 AVENUE,492
1702 WEST    1 STREET,491
57-15 SHORE FRONT PARKWAY,491
123 WAVERLY PLACE,491
53 EAST  131 STREET,491
221 LINDEN BOULEVARD,490
GRAND CENTRAL TERMINAL,489
189 BROADWAY,488
270 EAST BURNSIDE AVENUE,487
1200 CROES AVENUE,487
PROSPECT PARK,487
526 TINTON AVENUE,487
200 AMSTERDAM AVENUE,487
266 BEDFORD PARK BOULEVARD,486
300 WEST   54 STREET,483
1314 MERRIAM AVENUE,482
883 EAST  180 STREET,481
3873 ORLOFF AVENUE,480
41-29 50 STREET,478
63-10 108 STREET,478
24-02 19 STREET,477
1875 3 AVENUE,476
3 WASHINGTON SQUARE NORTH,475
1225 SHERIDAN AVENUE,474
25 HILLSIDE AVENUE,473
2305 UNIVERSITY AVENUE,473
109 NORTH    7 STREET,472
10 RICHMAN PLAZA,472
180 LENOX ROAD,472
305 LINDEN BOULEVARD,472
NORTHERN BOULEVARD,471
1892 MORRIS AVENUE,471
299 BROOME STREET,471
544 MARCY AVENUE,469
130 WEST  183 STREET,468
86 STREET,465
40-20 BEACH CHANNEL DRIVE,463
8301 BAY PARKWAY,463
1011 SHERIDAN AVENUE,461
1795 CLINTON AVENUE,460
127-43 WILLETS POINT BOULEVARD,459
500 WEST  135 STREET,457
185 MACKENZIE STREET,456
1665 MONROE AVENUE,456
148 WEST   46 STREET,455
2832 WEST   23 STREET,455
176 CLARKSON AVENUE,455
250 EAST   29 STREET,455
155 LINDEN BOULEVARD,454
25 NEPTUNE AVENUE,454
32 AVENUE,453
WASHINGTON STREET,453
3569 DEKALB AVENUE,452
269 OCEAN PARKWAY,452
200 BROADWAY,450
AVENUE M,448
2411 DEAN STREET,448
NOSTRAND AVENUE,448
56 AVENUE,446
870 42 STREET,445
377 MONTGOMERY STREET,445
124 EAST  176 STREET,443
340 ST JOHNS PLACE,443
543 SCHROEDERS AVENUE,443
50 MANHATTAN AVENUE,442
115 HAMILTON PLACE,441
159-10 71 AVENUE,440
26 BROADWAY,439
41 AVENUE,438
QUEENS BOULEVARD,437
410 EASTERN PARKWAY,437
103 WASHINGTON STREET,436
2411 EAST    3 STREET,435
495 WEST  186 STREET,434
361 EAST  163 STREET,434
MYRTLE AVENUE,433
2 ELLWOOD STREET,433
60 EAST   93 STREET,432
736 RIVERSIDE DRIVE,432
558 SCHROEDERS AVENUE,432
PARK AVENUE,432
709 FAIRMOUNT PLACE,429
600 CONCORD AVENUE,428
2645 BRIGGS AVENUE,428
620 LENOX AVENUE,428
1684 WEST   10 STREET,427
285 LINCOLN PLACE,426
56-30 61 STREET,426
540 CONCORD AVENUE,425
2302 WEBSTER AVENUE,425
2 ELTON STREET,425
80 STREET,425
EASTERN PARKWAY,425
FLATBUSH AVENUE,424
2198 CRUGER AVENUE,424
2980 WEST   28 STREET,424
110 POST AVENUE,423
1030 CARROLL STREET,421
129 WEST  147 STREET,421
899 MONTGOMERY STREET,421
30 RICHMAN PLAZA,420
55 WINTHROP STREET,420
502 SCHROEDERS AVENUE,419
480 EAST  188 STREET,419
30 WASHINGTON STREET,417
162 WEST  144 STREET,416
FLUSHING MEADOWS PARK,416
62-60 99 STREET,416
1500 BROADWAY,415
19 COOPER STREET,415
605 WEST   42 STREET,415
1250 FRANKLIN AVENUE,415
LEXINGTON AVENUE,414
2825 WEBB AVENUE,414
4 IRVING AVENUE,413
840 GRAND CONCOURSE,413
2386 DAVIDSON AVENUE,412
308 WEST   94 STREET,412
1531 GATES AVENUE,412
3758 10 AVENUE,411
439 WEST   36 STREET,411
73 AVENUE,411
5400 FIELDSTON ROAD,411
25 AVENUE,411
347 LINCOLN ROAD,411
1 BOWLING GREEN,410
2025 SEWARD AVENUE,410
552 WEST  186 STREET,409
800 CONCOURSE VILLAGE WEST,409
108-26 159 STREET,409
2425 NOSTRAND AVENUE,409
3210 PERRY AVENUE,409
109 POST AVENUE,409
2355 EAST   12 STREET,408
BOSTON ROAD,408
AVENUE J,408
89 AVENUE,408
300 RECTOR PLACE,407
31 AVENUE,407
1630 MACOMBS ROAD,406
480 SAINT NICHOLAS AVENUE,406
1439 OCEAN AVENUE,405
168-02 91 AVENUE,405
3128 VILLA AVENUE,405
363 WEST   23 STREET,405
745 7 AVENUE,404
3605 SEDGWICK AVENUE,404
1435 UNIVERSITY AVENUE,404
331 EAST  132 STREET,403
975 LIBERTY AVENUE,402
2181 BARNES AVENUE,402
342 WEST   71 STREET,402
925 ST MARKS AVENUE,401
498 WEST  158 STREET,401
283 EAST  149 STREET,401
45 EAST MOSHOLU PARKWAY NORTH,401
450 EAST  184 STREET,400
933 REMSEN AVENUE,399
856 42 STREET,399
991 CARROLL STREET,399
1600 SEDGWICK AVENUE,398
8851 20 AVENUE,397
2720 GRAND CONCOURSE,396
610 SCHROEDERS AVENUE,396
RESERVOIR AVENUE,395
270 15 STREET,395
123-60 83 AVENUE,395
DEKALB AVENUE,394
181 ROCKAWAY PARKWAY,394
2775 EAST   12 STREET,394
2540 BARKER AVENUE,394
602 WEST  141 STREET,394
211 EAST  203 STREET,394
AVENUE L,394
612 WEST  178 STREET,393
30 COOPER STREET,393
630 LENOX AVENUE,393
1122 ANDERSON AVENUE,393
38 ELLIOT PLACE,393
MCCARREN PARK,392
2300 GRAND CONCOURSE,392
764 EAST  152 STREET,392
574 ST NICHOLAS AVENUE,391
1829 PATTERSON AVENUE,391
305 EAST   45 STREET,391
JAMAICA AVENUE,390
GRAND CENTRAL PKWY,390
215 BROAD STREET,388
825 MORRISON AVENUE,388
540 FT WASHINGTON AVENUE,388
88-22 PARSONS BOULEVARD,388
2111 BEEKMAN PLACE,387
1362 GRAND CONCOURSE,387
30 AVENUE,387
3816 REVIEW PLACE,385
