incident_address,n
1590 UNDERCLIFF AVENUE,385
1915 PUTNAM AVENUE,385
2510 TRATMAN AVENUE,385
2041 7 AVENUE,384
255 EAST   10 STREET,382
BELT PKWY,381
1555 GRAND CONCOURSE,381
1259 CLAY AVENUE,381
350 MASPETH AVENUE,380
451 KINGSTON AVENUE,380
366 WEST   23 STREET,379
849 42 STREET,379
2305 BEDFORD AVENUE,379
524 WEST  169 STREET,379
3961 CARPENTER AVENUE,379
455 MADISON AVENUE,378
2216 VICTORY BOULEVARD,378
2155 PAULDING AVENUE,378
WATER STREET,377
115 AVENUE,377
98-01 67 AVENUE,377
34-15 PARSONS BOULEVARD,377
43 AVENUE,376
494 BROADWAY,376
2 STODDARD PLACE,376
41-15 50 AVENUE,375
365 LINCOLN PLACE,375
280 PARKHILL AVENUE,375
1240 WALTON AVENUE,375
52 STONE STREET,375
2930 WEST   30 STREET,375
41-25 CASE STREET,375
MORNINGSIDE PARK,375
30 WEST  141 STREET,374
79 STREET,374
3150 BAILEY AVENUE,374
2156 CRUGER AVENUE,374
116 AVENUE,373
2183 MATTHEWS AVENUE,373
AVENUE S,373
1801 DORCHESTER ROAD,373
4565 BROADWAY,373
45 WEST  139 STREET,372
610 WEST  141 STREET,372
1700 BEDFORD AVENUE,371
2968 PERRY AVENUE,371
18-11 129 STREET,371
EAST  232 STREET,371
15 AVENUE,370
33 WEST   89 STREET,370
RIVERDALE AVENUE,369
AVENUE D,369
10 5 AVENUE,369
95 WALL STREET,369
820 EAST   10 STREET,369
595 EAST  170 STREET,368
244 FIELDSTON TERRACE,368
645 OCEAN PARKWAY,368
1700 METROPOLITAN AVENUE,368
1660 CROTONA PARK EAST,368
1535 UNDERCLIFF AVENUE,367
1515 BROADWAY,367
20 SEAMAN AVENUE,367
162 WEST  132 STREET,365
2120 TIEBOUT AVENUE,365
580 SUTTER AVENUE,365
2297 BEDFORD AVENUE,365
27 SICKLES STREET,365
30 MAC DONOUGH STREET,364
900 RIVERSIDE DRIVE,364
3990 BRONX BOULEVARD,364
54 AVENUE O,364
795 ST NICHOLAS AVENUE,363
1310 SHERIDAN AVENUE,363
65-30 KISSENA BOULEVARD,363
1161 HOE AVENUE,362
8100 BAY PARKWAY,362
381 VERNON AVENUE,362
WEST  163 STREET,362
2 CHARLTON STREET,362
1921 ADAM C POWELL BOULEVARD,362
572 WEST  141 STREET,361
1314 SENECA AVENUE,361
899 WESTCHESTER AVENUE,361
3150 ROCHAMBEAU AVENUE,360
107 AVENUE,360
1235 MORRIS AVENUE,360
608 SCHROEDERS AVENUE,360
185 ERASMUS STREET,359
320 STERLING STREET,359
1855 MONROE AVENUE,359
1540 AMSTERDAM AVENUE,359
105 EAST  177 STREET,359
2285 SEDGWICK AVENUE,358
4511 3 AVENUE,358
695 ST NICHOLAS AVENUE,358
44-15 COLDEN STREET,358
881 ERSKINE STREET,358
DYCKMAN STREET,357
MARINE PARK,357
2518 FREDERICK DOUGLASS BOULEVARD,356
60 LAFAYETTE STREET,356
580 FLATBUSH AVENUE,356
21 AVENUE,356
AVENUE K,355
618 WEST  136 STREET,355
22-04 COLLIER AVENUE,354
254 STOCKHOLM STREET,354
144 AVENUE A,354
524 WEST   59 STREET,353
120 AVENUE,353
95-03 23 AVENUE,353
265 STOCKHOLM STREET,353
609 SUTTER AVENUE,352
80 CLARKSON AVENUE,351
13 AVENUE,351
90-38 170 STREET,351
1420 FREEPORT LOOP,351
6211 BROADWAY,351
LIBERTY AVENUE,351
3341 BROADWAY,351
1 MAIN STREET,350
2238 CRESTON AVENUE,350
BUSHWICK AVENUE,350
39 AVENUE,349
2995 BOTANICAL SQUARE,349
4349 FURMAN AVENUE,349
116 LENOX ROAD,348
65 STREET,348
2569 7 AVENUE,348
AVENUE P,348
7 WORLD TRADE CENTER,348
75 BROADWAY,348
875 MORRISON AVENUE,348
2100 WESTBURY COURT,347
109 AVENUE,347
1505 TOWNSEND AVENUE,347
1420 CLAY AVENUE,347
83 PEARL STREET,346
1350 SHAKESPEARE AVENUE,346
83-43 118 STREET,346
21 STREET,346
75 WEST MOSHOLU PARKWAY NORTH,346
KINGS HIGHWAY,345
120-14 ATLANTIC AVENUE,345
501 LEFFERTS AVENUE,345
125 LENOX ROAD,344
METROPOLITAN AVENUE,343
1075 GRAND CONCOURSE,343
196-10 UNION TURNPIKE,342
405 EAST   16 STREET,341
578 EAST  141 STREET,341
2860 DECATUR AVENUE,341
3340 BAILEY AVENUE,341
2110 WESTBURY COURT,340
1170 OCEAN AVENUE,340
1253 FRANKLIN AVENUE,340
436 EASTERN PARKWAY,340
4011 KINGS HIGHWAY,340
111 AVENUE,339
1360 OGDEN AVENUE,339
1919 82 STREET,339
98-30 67 AVENUE,339
OCEAN PARKWAY,339
894 RIVERSIDE DRIVE,338
620 EAST  178 STREET,338
3120 WILKINSON AVENUE,338
795 EAST  169 STREET,338
2115 HONEYWELL AVENUE,337
3320 KOSSUTH AVENUE,337
515 73 STREET,336
192 9 STREET,336
109 CHRISTOPHER AVENUE,336
40-14 12 STREET,336
AMBOY ROAD,336
40 RICHMAN PLAZA,335
218 WEST  104 STREET,335
111 EAST  167 STREET,335
AVENUE C,335
HILLSIDE AVENUE,335
2020 GRAND CONCOURSE,334
99-65 64 ROAD,334
87-14 85 STREET,334
FRANKLIN AVENUE,334
241 SHERMAN AVENUE,334
200 WEST 131 STREET,333
2525 LINDEN BOULEVARD,333
2170 CRESTON AVENUE,333
FRANCIS LEWIS BOULEVARD,333
ARTHUR KILL ROAD,332
571 RIVERSIDE DRIVE,332
139 EAST   27 STREET,332
101 AVENUE,331
219 KINGSLAND AVENUE,331
563 CAULDWELL AVENUE,331
8701 SHORE ROAD,331
EAST TREMONT AVENUE,331
1460 MACOMBS ROAD,331
90 SANDS STREET,330
78 STREET,330
265 EAST  182 STREET,330
612 WEST 178 STREET,330
685 EAST  183 STREET,330
GRAND STREET,329
332 ROGERS AVENUE,329
494 SHEFFIELD AVENUE,329
2 MAGAW PLACE,329
95-15B NORTHERN BOULEVARD,329
3230 STEUBEN AVENUE,329
525 WEST  133 STREET,329
1500 NOBLE AVENUE,329
363 BOND STREET,328
357 EAST  201 STREET,328
2490 DAVIDSON AVENUE,328
150 WEST  179 STREET,328
446 KINGSTON AVENUE,328
216-02 LINDEN BOULEVARD,327
64 IRVING AVENUE,327
ARLINGTON AVENUE,327
576 RIDGEWOOD AVENUE,327
AVENUE A,327
1 ADRIAN AVENUE,327
1619 BROADWAY,326
2518 WEBB AVENUE,326
575 HERKIMER STREET,326
CYPRESS AVENUE,326
754 MANIDA STREET,326
210 WEST  107 STREET,326
560 WINTHROP STREET,326
1231 FULTON AVENUE,325
1932 BRYANT AVENUE,325
1750 GRAND AVENUE,324
3322 DECATUR AVENUE,324
355 ADAMS STREET,324
2251 HOLLAND AVENUE,324
75 EAST  116 STREET,323
148-48 88 AVENUE,323
724 CONEY ISLAND AVENUE,323
GATES AVENUE,323
1916 CROTONA AVENUE,323
1802 LURTING AVENUE,323
1025 BOYNTON AVENUE,323
BRUCKNER BOULEVARD,322
729 UNION AVENUE,322
2512 UNIVERSITY AVENUE,322
CORTELYOU ROAD,322
3300 PALMER AVENUE,322
20 EAST  109 STREET,322
1 MARBLE HILL AVENUE,321
2160 ANTHONY AVENUE,321
611 WEST  148 STREET,321
690 ALLERTON AVENUE,321
30 GLENMORE AVENUE,321
229 EAST   18 STREET,320
3840 ORLOFF AVENUE,320
269 DYCKMAN STREET,320
42-18 31 AVENUE,320
208 WEST  151 STREET,319
42-65 KISSENA BOULEVARD,319
115-22 LIBERTY AVENUE,319
1650 WILLIAMSBRIDGE ROAD,319
2029 2 AVENUE,319
321 WEST   24 STREET,319
809 WEST  177 STREET,318
2910 WALLACE AVENUE,318
54 BRISTOL STREET,317
19 DONGAN PLACE,317
84 STREET,317
266 WASHINGTON AVENUE,317
496 TINTON AVENUE,317
67 AVENUE,317
935 KELLY STREET,316
2710 SEDGWICK AVENUE,316
642 ROGERS AVENUE,316
1654 MONROE AVENUE,316
1692 UNION STREET,316
137 WEST  141 STREET,316
2342 RYER AVENUE,315
1920 WALTON AVENUE,315
3764 BRONX BOULEVARD,315
666 WEST  207 STREET,315
FLUSHING AVENUE,315
105 WILLIS AVENUE,315
2504 DEVOE TERRACE,315
3280 ROCHAMBEAU AVENUE,314
5 TIMES SQUARE,314
1645 GRAND AVENUE,314
2600 NETHERLAND AVENUE,314
2054 NOSTRAND AVENUE,314
2215 NEWKIRK AVENUE,314
298 EAST    3 STREET,313
441 BROOKLYN AVENUE,313
642 SCHROEDERS AVENUE,313
1152 ELTON STREET,313
245 HAWTHORNE STREET,313
2178 TIEBOUT AVENUE,313
28 AVENUE,311
83 AVENUE,311
84-53 DANA COURT,311
1834 CATON AVENUE,311
1044 FLATBUSH AVENUE,311
98 COOPER STREET,311
34 ARDEN STREET,311
5510 13 AVENUE,311
41-41 51 STREET,311
23 NEW LOTS AVENUE,310
351 EAST  163 STREET,310
1165 EAST  229 STREET,310
2131 WALLACE AVENUE,310
3165 DECATUR AVENUE,310
250 BEDFORD PARK BOULEVARD WEST,310
790 7 AVENUE,310
108 WASHINGTON STREET,310
160 WEST   97 STREET,309
2291 UNIVERSITY AVENUE,309
20 WEST  190 STREET,309
2757 CLAFLIN AVENUE,309
418 EAST  153 STREET,309
125 NORTH PORTLAND AVENUE,308
921 MONTGOMERY STREET,308
LAFAYETTE AVENUE,308
2100 BRONX PARK EAST,307
645 WEST  160 STREET,307
107-10 120 STREET,307
110 CADMAN PLAZA EAST,307
42-25 LAYTON STREET,307
851 EAST  163 STREET,307
540 SOUTHERN BOULEVARD,307
330 WEST   16 STREET,306
2970 WEST   24 STREET,306
1975 BIRCHALL AVENUE,305
EAST  163 STREET,305
26 WESTERVELT AVENUE,305
595 WEST  207 STREET,305
2683 MORRIS AVENUE,305
193 MARCUS GARVEY BOULEVARD,304
712 EAST  232 STREET,304
525 WEST  169 STREET,304
301 STERLING STREET,304
941 HOE AVENUE,304
112 EAST  128 STREET,304
20 WEST  129 STREET,303
151 CONOVER STREET,303
116 EAST MOSHOLU PARKWAY SOUTH,303
7420 RIDGE BOULEVARD,303
16 AVENUE,303
341 EAST  146 STREET,303
1485 MACOMBS ROAD,303
57-07 SHORE FRONT PARKWAY,303
104 TERRACE VIEW AVENUE,302
880 BOYNTON AVENUE,302
5009 BROADWAY,302
18 MOUNT MORRIS PARK WEST,302
2244 CRUGER AVENUE,302
400 BROOK AVENUE,302
5 WEST  123 STREET,301
1230 EAST TREMONT AVENUE,301
4340 WHITE PLAINS ROAD,301
2344 DAVIDSON AVENUE,301
1 PARKSIDE COURT,300
CLARKSON AVENUE,300
2501 NEWKIRK AVENUE,300
2375 EAST    3 STREET,300
2723 BARNES AVENUE,300
111 WEST  141 STREET,300
127-11 WILLETS POINT BOULEVARD,300
225 WEST  232 STREET,300
2626 HOMECREST AVENUE,300
195 BROADWAY,299
231 WEST  149 STREET,299
1106 BOYNTON AVENUE,299
1539 SEMINOLE STREET,299
2105 RYER AVENUE,299
186 EAST  164 STREET,298
354 OCEAN AVENUE,298
107-10 SHORE FRONT PARKWAY,297
6301 23 AVENUE,297
1340 MERRIAM AVENUE,297
686 EAST  234 STREET,297
BRONX BOULEVARD,297
4360 BAYCHESTER AVENUE,297
PENN STATION,297
106-20 SHORE FRONT PARKWAY,296
AVENUE B,296
OCEAN AVENUE,296
14-50 GATEWAY BOULEVARD,296
711 WEST  180 STREET,296
35 HAMILTON PLACE,295
82 STREET,295
1084 NEW YORK AVENUE,295
89-04 34 AVENUE,295
1593 FULTON STREET,295
80-00 UTOPIA PARKWAY,295
877 HUGUENOT AVENUE,295
725 WEST  172 STREET,295
AVENUE I,295
655 BURKE AVENUE,295
50 EAST   19 STREET,294
1075 OCEAN PARKWAY,294
1234 SHAKESPEARE AVENUE,293
1889 BROADWAY,293
1202 SPOFFORD AVENUE,293
CRESCENT STREET,293
40 WEST MOSHOLU PARKWAY SOUTH,293
208 EAST   29 STREET,292
67 WALL STREET,292
950 JENNINGS STREET,292
91 AVENUE,292
1005 JEROME AVENUE,292
2045 STORY AVENUE,292
OCEAN PARKWAY MALLS,292
415 LEFFERTS AVENUE,292
26-49 96 STREET,291
1750 GRAND CONCOURSE,291
64 NEPTUNE AVENUE,291
2505 BEDFORD AVENUE,291
1425 UNIVERSITY AVENUE,291
1365 ST NICHOLAS AVENUE,291
BELMONT AVENUE,291
34 NORTH    6 STREET,290
903 DREW STREET,290
488 EAST  163 STREET,290
131 MOORE STREET,290
ALBANY AVENUE,290
1229 FRANKLIN AVENUE,290
670 RIVERSIDE DRIVE,289
95 AVENUE,289
AVENUE V,289
69 EAST   17 STREET,289
2497 GRAND AVENUE,289
2701 BARKER AVENUE,289
115 EAST MOSHOLU PARKWAY NORTH,288
94-02 35 AVENUE,288
69 AVENUE,288
62 AVENUE,288
170 HAWTHORNE STREET,287
660 NEREID AVENUE,287
222 BEDFORD PARK BOULEVARD,287
214 ROCKAWAY PARKWAY,287
2501 NOSTRAND AVENUE,287
3864 WHITE PLAINS ROAD,287
350 WEST   24 STREET,287
31 STREET,287
5421 BEVERLY ROAD,287
26 EAST   60 STREET,287
ROOSEVELT AVENUE,287
888 GRAND CONCOURSE,287
60 ST NICHOLAS AVENUE,287
330 WEST   95 STREET,286
180 EAST  163 STREET,286
108 ELLWOOD STREET,286
72-15 41 AVENUE,286
270 CLARKSON AVENUE,286
MANHATTAN AVENUE,286
600 WEST  192 STREET,285
700 ESPLANADE GDNS PLAZA,285
446 WEST   58 STREET,285
150 EAST   19 STREET,285
679 OCEAN PARKWAY,285
41-02 COLLEGE POINT BOULEVARD,285
202 EAST   21 STREET,285
240 EAST  175 STREET,285
552 FLATBUSH AVENUE,284
2000 ANTHONY AVENUE,284
44-19 ROCKAWAY BEACH BOULEVARD,284
2394 7 AVENUE,284
600 WEST  139 STREET,284
54 STONE STREET,284
1-50 50 AVENUE,283
2095 GRAND CONCOURSE,283
165 ROCKAWAY PARKWAY,283
35-16 34 STREET,283
102-45 62 ROAD,283
2454 TIEBOUT AVENUE,283
EAST  174 STREET,283
1775 DAVIDSON AVENUE,283
FRONT STREET,283
1460 WASHINGTON AVENUE,283
891 DRIGGS AVENUE,282
2446 LYVERE STREET,282
55 LENOX ROAD,282
1550 INWOOD AVENUE,282
250 EAST GUN HILL ROAD,282
1571 UNDERCLIFF AVENUE,282
69 ST NICHOLAS PLACE,281
EAST   33 STREET,281
3045 GODWIN TERRACE,281
2970 OCEAN AVENUE,281
210P WEST  153 STREET,281
40-26 BENHAM STREET,281
AVENUE H,280
3336 PERRY AVENUE,280
926 AMSTERDAM AVENUE,280
1500 GRAND CONCOURSE,280
672 POWELL STREET,280
125 MT HOPE PLACE,280
89-29 163 STREET,280
2886 BRIGGS AVENUE,280
503 WEST  139 STREET,279
